key,chips,raw_first_irq,raw_top_irq,raw_top_share,raw_distinct_irqs,parser_detected_irq,raw_in_bounds,parser_in_bounds,detected_zero,parser_disagrees_with_raw,near_lower_bound,near_upper_bound
4-Mat/Comets_Trilogy_Menu.1.dump.parquet,1,0,16137512,0.0002,11706,19656,0,1,0,1,0,0
4-Mat/Complete.1.dump.parquet,1,0,39248,0.0003,5497,19656,0,1,0,1,0,1
4-Mat/Cosine_Theme.1.dump.parquet,1,0,39248,0.0005,4511,19656,0,1,0,1,0,1
4-Mat/Cyberwing-Loader.1.dump.parquet,1,0,39248,0.0007,3780,19656,0,1,0,1,0,1
4-Mat/Elf_Caper.1.dump.parquet,1,0,12776336,0.0008,2695,19656,0,1,0,1,0,0
4-Mat/Elf_Caper.2.dump.parquet,1,0,7587152,0.0015,1137,19656,0,1,0,1,0,0
4-Mat/Empty_512_bytes.1.dump.parquet,1,0,37189088,0.0006,3610,19656,0,1,0,1,0,0
4-Mat/Femtotro_2.1.dump.parquet,1,0,39248,0.0022,1166,19656,0,1,0,1,0,1
4-Mat/Filter.1.dump.parquet,1,0,90614096,0.0004,7044,19656,0,1,0,1,0,0
4-Mat/Final_Boss.1.dump.parquet,1,0,1331614,0.0006,12265,0,0,0,1,0,0,0
4-Mat/Final_Boss_final_version.1.dump.parquet,1,0,1331650,0.0003,25784,0,0,0,1,0,0,0
4-Mat/First_One.1.dump.parquet,1,0,75518288,0.0003,6666,19656,0,1,0,1,0,0
4-Mat/Glitchshifter.1.dump.parquet,1,0,36178433,0.0006,82681,15691,0,1,0,1,0,0
4-Mat/Grell_and_Falla.1.dump.parquet,1,0,26928656,0.0009,3008,19656,0,1,0,1,0,0
4-Mat/Grell_and_Falla.2.dump.parquet,1,0,1926224,0.0269,110,19656,0,1,0,1,0,0
4-Mat/Grell_and_Falla.3.dump.parquet,1,0,2397968,0.0198,146,19656,0,1,0,1,0,0
4-Mat/Grell_and_Falla.4.dump.parquet,1,0,3459392,0.0133,199,19656,0,1,0,1,0,0
4-Mat/Grell_and_Falla.5.dump.parquet,1,0,45326672,0.0005,5815,19656,0,1,0,1,0,0
4-Mat/Halloween_1K.1.dump.parquet,1,0,0,0.0023,1535,65688,0,0,0,1,0,0
4-Mat/Hawk.1.dump.parquet,1,0,11400416,0.0003,7203,19656,0,1,0,1,0,0
4-Mat/Icecream_end_Remix.1.dump.parquet,1,0,39248,0.0007,3475,19656,0,1,0,1,0,1
4-Mat/Illusion_Remix_Edit.1.dump.parquet,1,0,39248,0.001,3282,19656,0,1,0,1,0,1
4-Mat/In_a_Loop.1.dump.parquet,1,0,0,0.0008,5414,19656,0,1,0,1,0,0
4-Mat/In_a_Loop_note.1.dump.parquet,1,0,37759112,0.0026,3108,19656,0,1,0,1,0,0
4-Mat/Intro_Loader.1.dump.parquet,1,0,45326672,0.0004,4904,19656,0,1,0,1,0,0
4-Mat/Jungle.1.dump.parquet,1,0,12383216,0.001,2113,19656,0,1,0,1,0,0
4-Mat/Jungle.2.dump.parquet,1,0,176840,0.0061,395,19656,0,1,0,1,0,0
4-Mat/Jungle.3.dump.parquet,1,0,176840,0.0211,117,19656,0,1,0,1,0,0
4-Mat/Jungle.4.dump.parquet,1,0,2535560,0.014,259,19656,0,1,0,1,0,0
4-Mat/Jungle.5.dump.parquet,1,0,176840,0.0025,763,19656,0,1,0,1,0,0
4-Mat/Jungle.6.dump.parquet,1,0,176840,0.0014,1398,19656,0,1,0,1,0,0
4-Mat/Jungle.7.dump.parquet,1,0,176840,0.0022,859,19656,0,1,0,1,0,0
4-Mat/Jungle.8.dump.parquet,1,0,176840,0.0155,140,19656,0,1,0,1,0,0
4-Mat/Lyra_2_Remix.1.dump.parquet,1,0,39248,0.0005,6315,19656,0,1,0,1,0,1
4-Mat/Menutune_new_player_test.1.dump.parquet,1,0,12599432,0.0022,1305,19656,0,1,0,1,0,0
4-Mat/MiniSEQ_Demo_Songs.1.dump.parquet,1,0,0,1.0,1,0,0,0,1,0,0,0
4-Mat/MiniSEQ_Loop_Song.1.dump.parquet,1,0,0,1.0,1,0,0,0,1,0,0,0
4-Mat/Mini_Melodies.1.dump.parquet,1,0,109247984,0.0003,6847,19656,0,1,0,1,0,0
4-Mat/Mini_Melodies_Compilation.1.dump.parquet,1,0,30191552,0.0006,6569,19656,0,1,0,1,0,0
4-Mat/Mini_Melodies_Compilation.2.dump.parquet,1,0,20127680,0.0017,3110,19656,0,1,0,1,0,0
4-Mat/Mini_Melodies_Compilation.3.dump.parquet,1,0,35223488,0.001,3862,19656,0,1,0,1,0,0
4-Mat/Mini_Melodies_Compilation.4.dump.parquet,1,0,1006,0.0032,1055,19656,0,1,0,1,0,0
4-Mat/Mini_Melodies_Compilation.5.dump.parquet,1,0,45287360,0.0028,2358,19656,0,1,0,1,0,0
4-Mat/Mini_Melodies_Compilation.6.dump.parquet,1,0,1009,0.0696,66,78624,0,0,0,1,0,0
4-Mat/Miracle_Remix.1.dump.parquet,1,0,39248,0.0012,2024,19656,0,1,0,1,0,1
4-Mat/Mus1k.1.dump.parquet,1,0,67773824,0.0001,28823,19656,0,1,0,1,0,0
4-Mat/Mus1k.2.dump.parquet,1,0,15135056,0.0001,16944,19656,0,1,0,1,0,0
4-Mat/Mus1k.3.dump.parquet,1,0,36402848,0.0004,5164,19656,0,1,0,1,0,0
4-Mat/Mus1k.4.dump.parquet,1,0,18201392,0.0013,1956,19656,0,1,0,1,0,0
4-Mat/Mystery_Chords.1.dump.parquet,1,0,62309456,0.0003,7307,19656,0,1,0,1,0,0
4-Mat/No_Idea.1.dump.parquet,1,0,118918736,0.0002,9893,19656,0,1,0,1,0,0
4-Mat/Old_Favourites.1.dump.parquet,1,0,26437256,0.0031,1354,19656,0,1,0,1,0,0
4-Mat/Old_Favourites.2.dump.parquet,1,0,18889352,0.0023,1304,19656,0,1,0,1,0,0
